village,soil,total_sqft,density,price(*100)
Jafarnagar-Begamabad,2 index,1050,2,71
Jainpur,3 index,1855,3,225
Jalalabad Urf Jalalpur,3 index,1460,2,90
Jalalpur-Akkhepur,3 index,1823,3,100
Jamalpur Goma,2 index,1094,2,42
Jamalpur Jalalpur,2 index,1153,2,57
Jasar Sultannagar,3 index,1325,3,57
Jasrathpur,4 index,1200,3,85
Jeori,3 index,1590,2,125
Jhitkari,5 index,1210,4,160
Jitpur,4 index,1200,4,220
Julehra,2 index,1202,2,48
Kaili,2 index,1202,2,53
Kailota,2 index,1200,2,62.5
Kakkepur,3 index,1688,3,118
Kaland,2 index,1020,2,52
Kalandi,2 index,1185,2,47
Kamaruddinnagar Madhiyai,2 index,1235,2,52.04
Kanora,4 index,3205,5,500
Kapsarh,2 index,1077,2,37.64
Karnawal (NP),3 index,1415,2,66
Karnawal Rural,3 index,2330,3,162
Khanuda,2 index,805,2,35
Khawajahanpur-Kushawali,1 index,425,1,20.03
Khera,2 index,1155,2,59.95
Kheri Jatran,4 index,5270,4,1250
Kheri Kalan,2 index,656,2,22
Kheri Tappa Lawar,2 index,1100,2,48
Khirwa Jalalpur,2 index,1150,2,52
Khirwa Nauabad,1 index,600,1,60
Khiwai,2 index,1468,2,140
Kulanjan,4 index,4300,5,550
Lawar (NP),3 index,2280,4,126
Lawar Janaali Rural,2 index,1341,2,97
Lawar Khas Rural,2 index,1279,2,77
Lawri Hiranpur,4 index,2225,4,98.88
Loiya,2 index,1185,2,43.51
Machhri,3 index,1750,3,85
Madaripur,2 index,1152,2,53.5
Madarpura,5 index,1000,4,160
Mahadeo,2 index,1300,2,36
Mahalka,4 index,2760,4,155
Mail,2 index,1070,2,39
Mainaputhi,2 index,1101,2,45
Maithna Indersingh,2 index,775,2,55
Mamupur Urf Dedwa,1 index,667,1,36.85
Mamuri,2 index,1070,2,55
Mandora,3 index,1875,2,110
Mataur,2 index,735,2,57.99
Mawi Mira,5 index,4360,4,90
Meharmati Ganeshpur,3 index,1750,3,130
Mithepur,2 index,1215,2,67
Mohammadpur Akbarpur Chakbandi,9 index,600,9,190
Mohammadpur Akbarpur Chakbandi,2 index,820,2,30
Mohammadpur Hayak,2 index,1160 - 1195,2,59.935
Mohanipur,3 index,1779,3,89.61
Mozamabad-Jwalagarh,2 index,1105,2,58
Mukhtyarpur Nagla,1 index,1000Sq. Meter,2,93
Mulhaira,3 index,1650,3,60
Nagla Order,2 index,1694,2,150
Nagla Rathi,3 index,2376,3,203
Nagli Ajar Salempur,3 index,1975,3,150
Nagli Mazra Mataur,2 index,674,2,33
Nagli Sadharan,2 index,1185,2,41
Nahli,1 RK,445,1,28
Nangla Sani,6 index,900,7,76
Nehori,3 index,1475,3,75
Pali,3 index,1618,3,82.5
Panchli Buzurg,2 index,1120,2,65
Panwari,4 index,2181,3,152
Pathauli,4 index,1200,4,90
Pavli Khas,6 index,600,4,65
Pavli Khurd,3 index,1556,2,59.13
Pithlokhar,2 index,1179,2,66.02
Pohali,2 index,1296,2,83
Rajpur Momin,2 index,1275,2,52
Rasulpur Muradnagar,7 index,1875,2,300
Ratauli,3 index,1400,2,77
Rithali,2 index,1222,2,63
Ruhasa,2 index,940,2,41
Sahipur Daurala,2 index,1185,2,42.6
Sakoti,3 index,1779,3,112
Salawa,3 index,1615,3,59.76
Samaspur,4 index,4000 - 5249,,453
Samaspur Surani,2 index,1056,2,61
Samoli-Salempur,2 index,1100,2,46
Sardhana (NPP),2 index,920,2,40
Sardhana (Rural),3 index,1602,2,75
Saroli Viran,2 index,1176,2,62
Sarswa,4 index,675,3,59
Sarurpur Khurd,3 index,1352,3,135
Shahpur Pirpur,3 index,1717,3,99
Shahpur Zadid,4 index,10961,4,80
Siwaya-Jamalullapur,4 index,2119,4,111
Tanda,2 index,1246,2,67.3
Tandi,2 index,1141,2,42.79
Teharki,2 index,1157,2,84
Ulakhpur,2 index,1025,2,27.68
Walidpur,1 index,650,1,33
Zafrabad-Durweshpur,2 index,1349,2,98
Afzalpur Pawati,3 index,1566,3,83.3
Ahara,4 index,2830,3,195
Ajnauli,3 index,1320,2,38.13
Ajrara,3 index,1780,3,84.83
Alamgir Pur,2 index,1091,2,34.9
Alampur Buzurg,4 index,3670,4,300
Allipur,2 index,918,2,50.49
Allipur Jijmana,4 index,1950,4,130
Amanullapur,3 index,1695,3,90
Amehra Adipur (CT),3 index,1705,3,95
Aminagar Urf Bhurbaral (CT),3 index,1375,3,75
Arnawali,1 index,525,1,30
Ataula,2 index,1447,2,83
Atrara,2 index,1114,2,39
Azampur,3 index,1450,2,100
Azizpur,2 index,460,1,15
Badha Girdharpur,2 index,1022,2,40
Badhala Kaithwara,2 index,1000,2,45
Badholi,2 index,1128,2,68.75
Bafar,2 index,1180,2,57
Bahadurpur,6 index,1000,6,69
Bahchaula,2 index,1200,2,150
Bahrampur Khas,3 index,3761,3,660
Bahrampur Morna,2 index,1339,2,75
Bajaut,3 index,1400,2,55
Banwaripur,2 index,1040,2,39.52
Baram,2 index,1198,2,58
Barhanpur,4 index,1200,3,95
Basatikri,3 index,1691,3,113
Bhadaura,3 index,1075,3,36
Bhagwanpur,3 index,1630,3,194
Bhagwanpur Chittawan,3 index,1240,3,43.5
Bhagwanpur Khalsa,2 index,1115 - 1130,2,58.935
Bhavi,3 index,1665,3,86.58
Bhawanpur,3 index,2489,3,94
Bhurpur,2 index,1142,2,70
Bijoli,3 index,1976,3,184
Bohla,4 index,5500,4,600
Chak Morna,3 index,1853,3,82
Chandora,8 index,600,4,72
Chandsara,2 index,1567,2,92
Chhajmalpur Urf Chhajupur,2 index,1090,2,27.24
Chhattri,6 index,1200,4,125
Chindori Khas,4 index,2400,4,640
Chindori Patti Dalu,2 index,1175,2,51.47
Chobla,2 index,1200,2,52
Dalampur,2 index,995,2,41
Damgarhi,2 index,884,2,41.1
Datavali Gesupur,5 index,900,3,80
Daulatpur Fakhrabad Urf Kayast,2 index,1170,2,57
Dhadra,2 index,1225,2,46.55
Dhanota,2 index,1342,2,73.3
Dhikauli,2 index,1345,2,67
Dhilaura,3 index,1320,3,65
Dhindala,2 index,1100Sq. Yards,2,45
Dhir Khera,2 index,1140,2,49.39
Dilwara,2 index,1300,2,50
Dimoli,3 index,1652,3,85
Dungar,3 index,2072,4,142
Durjanpur,3 index,1740,2,95
Faizabad Pachgaon,3 index,1360,2,71
Fakharpur Kabatta,3 index,1145,2,60
Fatehpur,3 index,1540,2,40
Fatehpur Ambkhera,2 index,1278,2,95
Gagaul,1 index,630,1,40
Gangheri,3 index,1100,3,58
Gejha,3 index,1200,3,95
Ghat,7 index,2500,6,115
Govindpur,1 index,520 - 645,1,15.135
Govindpur Urf Ghasauli,2 index,1015,2,25.88
Gyanpur,5 index,3300,5,240
Hajipur,5 index,4500,5,415
Hasanpur Qadim,3 index,1356,2,66
Hasanpur Razapur,2 index,823,2,28
Idris Pur,3 index,1200,2,66
Ikla,2 index,1050,2,37
Incholi,2 index,1180,2,69
Islamabad Chhilora,2 index,1116,2,51.91
Itayira,2 index,1070,2,42.79
Jalalpur,2 index,1385,2,80
Jalaluddinpur Masoodpur Gawri,1 index,1000,1,70
Jamalpur Majra,3 index,1897,3,130
Jangethi,2 index,1005,2,55.78
Jani Buzurg,3 index,1575,3,125
Jani Khurd,2 index,975,2,65
Janjokhar,3 index,1904,3,120
Jasora,1 index,930,1,30
Jasori,1 index,525,1,26
Jataula,1 index,686,1,17
Jatpura,2 index,2400,3,150
Jithauli,2 index,1410,1,233
Johra,3 index,2238,3,140
Jurranpur,2 index,1174,2,69
Kaili,4 index,3800,4,239
Kaithwari,3 index,2225,2,125
Kalanjari,2 index,1250,2,200
Kalina,2 index,918,2,52
Kalyan Pur,2 index,1250,2,52
Kamalpur,3 index,1800,3,110
Kanauni,2 index,1170,2,53
Kastala Shamshernagar,1 index,1300,1,200
Kaul,2 index,793,2,45
Kazamabadgoon,3 index,1710,3,107
Khajuri,3 index,1082,2,57.5
Khandawali,2 index,1001,2,33.03
Khanpur,4 index,1500,4,180
Khanpur,3 index,1590,2,54
Khardoni Shekhupur,3 index,2400,2,80
Kharkhari,3 index,1554,3,55
Kharkhauda,2 index,1000 - 1285,2,43.415
Kharkhoda (NP),5 index,4239,5,423
Khaspur,2 index,884,1,58
Khawajahanpur,2 index,1045,2,98.89
Khera Balrampur,2 index,1019,2,49.86
Kheri Nizd Kalina,3 index,1935,4,130
Kherki Muzakkipur,3 index,1135,2,39.73
Khwajampur Majra,3 index,1680,3,150
Kinannagar,4 index,2470,5,247
Kishori,4 index,2825,4,250
Kitholi,3 index,2480,3,330
Kudhla,9 index,1260,11,290
Kunkura,5 index,1800,4,187
Kurali,3 index,1799,3,90
Kuri,4 index,3606 - 5091,,304
Ladpura,1 index,400,1,11
Laharra,2 index,1047,2,82
Lahaurgarh,2 index,1282,2,87
Mahroli,2 index,1020,2,45.9
Makarmatpur Bharapur,4 index,1080,3,155
Mamipur,2 index,1495,2,79.5
Mansabgarh,4 index,3260,4,240
Masoori,3 index,1611,2,64.44
Mau Khas,4 index,3500,5,425
Medpur,3 index,1500,2,95
Meerut (CB),3 index,1500,2,95
Meerut (M Corp.),4 index,3206,5,270
Mehpa,3 index,1540,3,50
Mewla,3 index,1639,3,80
Mirpur,4 index,700,4,72
Mirpur Jakhera,2 index,1303,2,55.79
Mirzapur,2 index,1005,1,110
Mohd.Pur Gumi,1 index,650 - 665,1,18.41
Mohdpur Dhumi,3 index,1305,3,33.28
Mohiuddinpur (CT),3 index,600,4,95
Mohiuddinpur Lalsana,2 index,1300,1,115
Morna,3 index,1440,2,68
Mundali,2 index,901,2,35.14
Murlipur Phool,3 index,1725,3,200
Muzaffarnagar Saini,3 index,900,2,42
Muzakkipur,2 index,1060,2,55
Nagla Kaboolpur,2 index,1020,2,48.45
Nagla Kumbha,3 index,1535,3,65.99
Nagla Mal,1 index,530,1,20
Nagla Patu,3 index,1464,3,56
Nagla Shekhu,2 index,1350,2,80
Nagli Azamabad,2 index,1115,2,50
Nalpur,2 index,1175,2,47
Nanu Fatahpur,2 index,1113,2,62
Narahara,6 index,1200,4,225
Narangpur,5 index,1640,4,240
Nek,2 index,650,2,42
Nityanandpur,2 index,1325,2,71.55
Pabla,2 index,950,2,31
Pachgaon Patti Amar Singh,3 index,1396,2,86.51
Pachgaon Patti Gopal,2 index,1050,2,52.07
Pachgaon Patti Sanwal,3 index,1825,3,100
Pachpera,2 index,1190,2,49.98
Paindapur,2 index,1220,2,56.5
Panchi,3 index,1565,2,75
Panchli Khurd,3 index,1891,3,109
Pastra,2 index,900,2,27
Patti Kherki,2 index,1161,2,55.15
Peepli Khera,1 index,633 - 666,1,17.535
Pepla,8 index,2400,6,125
Puth Khas,4 index,315,4,90
Puthri,1 index,665,1,36.85
Qasimpur,2 index,1175,2,73.5
Raghunathpur,2 index,1425,2,80
Rajpura,1 index,1200,1,20
Rajpura,3 index,1200,3,56.12
Rali Chauhan,2 index,1255,2,67
Rampur Moti,3 index,2112.95,4,145
Rasna Mohammadpur Akbarpur,1 index,600,1,22
Rasulpur Aurangabad,3 index,1810,3,100
Rasulpur Dhantala,2 index,1200,2,93
Rasulpur Dhaulri,2 index,1033,2,49
Rasulpur Marhi,3 index,1548,3,89.5
Rasulpur Rohta,3 index,1611,3,66
Rasulpur Zahid,3 index,1400,2,40.43
Rawa,3 index,1485,2,67
Rukanpur,2 index,2400,2,82
Ruknuddinpur Misri Urf Phaphun,2 index,1025,2,44.5
Sadharanpur,4 index,600,3,65
Sadullapur Urf Chandpura,2 index,1225,2,53
Salahpur,2 index,1256,2,62.8
Salarpur Jalalpur,4 index,2268,3,163
Saleh Nagar,3 index,1100,3,53
Salempur,2 index,1141,2,62
Sameypur,1 index,400,1,12
Satwai,2 index,1400,2,60
Set Kuan,7 index,4100,7,140
Sewalkhas (NP),1 index,5.31Acres,1,110
Shafiabad Loti,1 index,15,1,30
Shahpur Jainpur,2 index,1175,2,48.27
Shakarpur,2 index,1100,2,56
Shaulana,3 index,1843,3,95.84
Shekhpuri,8 index,1200,7,240
Shipura,2 index,1460,2,80.5
Sial,3 index,1530,2,74.5
Sikarpur,2 index,1467,2,55
Sikhera,1 index,950,1,40
Sikri,2 index,1246,2,64.5
Sindhawali (CT),1 index,711,1,38
Sisola Buzurg,2 index,1194,2,46
Sisola Khurd,3 index,1358,2,43.4
Sisoli,6 index,1500,5,130
Siwal Khas,2 index,1420,2,75
Soharka,3 index,1250,2,68.75
Tatina Sani,2 index,1280,2,58
Thirot,2 index,1209,2,50
Tikri,5 index,4200,5,225
Timakia,4 index,1215,4,205
Ukasia,3 index,1315,2,54.8
Ukhleena,3 index,1800,3,90
Uldeypur,5 index,1600,4,125
Uldhan,3 index,1600,2,65
Uplehra,6 index,3968,5,900
Yusufabad,3 index,1563,3,52
Achikalan,3 index,1560,2,72
Afjalpur Urf Raninagla,3 index,2169,4,115
Agwanpur,9 index,900,10,170
Ahmadnagar Badhla,2 index,1050,2,55.5
Ahmadpur Urf Dandoopur,3 index,3235,3,235
Ahmadpuri Urf Amanpuri,3 index,1200,3,66
Aidalpur,2 index,1140,2,46
Aidalpur,3 index,1500,3,170
Akbaarpur Khadar,3 index,1560,3,75
Akbarpur Garhi,2 index,1100,2,70
Akbarpur Ichchhabad,3 index,1260,2,40.32
Akbarpur Sadat,2 index,1036,2,50
Akheypur,3 index,1662,3,85.1
Alamgirpur Badhla,3 index,1464,2,105
Alawalpur,2 index,1234,2,80
Alipur Alampur,3 index,1403,3,55
Alipur Morna,4 index,915,4,54.9
Amarpur Mazra Khandawli,6 index,3000,8,451
Amarsinghpur,3 index,1150,2,42.9
Ameharasani,4 index,3900,4,410
Aminabad Urf Baragoan,5 index,850,4,90
Amroli Urf Baragoan,2 index,929,2,46
Asfabad,6 index,2400,8,450
Asilpur,3 index,1350,2,75
Askaripur,2 index,1135,2,39.73
Assa,2 index,1405,2,70
Atalpur,2 index,1200,2,45.84
Atmadpur,4 index,2805,4,154
Attaura,2 index,1161,2,64.08
Badhwa,2 index,1290,2,74
Badhwi,3 index,2557,3,141
Badshahpur,3 index,1480,3,90
Baghpur,9 index,3300,14,500
Bahadurpur,3 index,1350,3,54.54
Bahorpur,3 index,1580,2,65
Bahsuma (NP),3 index,1470,2,88.64
Bajampur,1 index,500,1,14
Bali,2 index,1346,2,61.92
Bamnaula,3 index,1600,3,90
Bamnauli,2 index,720,2,120
Bana,2 index,30Acres,2,29.5
Barauda,4 index,1200,4,135
Basiviran,2 index,1200,2,35
Bastora Norang,3 index,1340,2,48.33
Batawli,4 index,6136,4,560
Batnor,2 index,918,2,48
Behbalpur,3 index,1500,3,115
Behjadka,2 index,1315,2,85
Behlolpur,4 index,2400,5,775
Behrora,3 index,1390,2,62.55
Behsuma,3 index,1330,2,56
Bela,5 index,3100,4,265
Bhagawanpur,3 index,1824,3,125
Bhagupur,3 index,1420,2,96
Bhagwanpur Bangar,1 index,750,1,56.25
Bhagwanpur Khadar,3 index,1260,2,60
Bhainsa,3 index,1561,3,95
Bharolli,9 index,812,6,165
Bhattipura,2 index,1060,2,42
Bhirwara,8 index,1120,8,145
Bhndora,2 index,1225,2,67.38
Bhogpur,3 index,2144,3,135
Bhojpur,7 index,1200,6,140
Bhuwa,2 index,880,2,29
Bisola,3 index,1639,3,110
Bondra,3 index,1240,2,62
Chak Paswara,2 index,1500,2,69
Chamraud,2 index,1243,2,46
Chandlawar Urf Mahalwala,3 index,1575,3,78
Chandpur,2 index,1027,2,44
Chhuchai,3 index,1082,2,56
Chitwana Sherpur,3 index,1637,3,73
Dabkheri,3 index,1665,3,86.58
Dabthla,2 index,1265,2,56.93
Dariapur,3 index,1691,2,102
Daulatpur Urf Mamipur,2 index,1100,2,38
Dayalpur,5 index,24,2,150
Dayalpur,3 index,1500,3,62
Dedupur,4 index,3205,5,380
Dhanpura,5 index,1666,4,150
Dhanpura,2 index,1115,2,50
Dhikauli,2 index,1070,2,45
Dhuma Nagli,2 index,1128,2,105
Dudheli Bangar,2 index,1162,2,57
Dudhli Khadar,2 index,1339,2,55
Duperi Chaw,2 index,1192,2,75
Durveshpur,3 index,1920,3,115
Fajilpur,2 index,1255,2,52.32
Fatehpur Narain,2 index,1357,2,115
Fatehpur Prem,3 index,1600,3,75
Firozpur,2 index,1225,2,55.11
Ftahpur Hansapur,4 index,2400,4,200
Gagsona,3 index,1570,3,80
Gajraula,2 index,1093,2,70
Gajrauli,3 index,1865,3,145
Gajupura,6 index,1200,7,165
Ganeshpur,2 index,1039,2,80
Garina,2 index,1246,2,64.5
Gayanagla Urf Nagla Katar,3 index,1985,3,75
Gazipur,3 index,1590,3,49
Gesupur Januvi,4 index,4000,4,675
Gesupur Shumali,2 index,775,2,38
Gokulpur,2 index,1000,2,50
Govindpur Sakarpur,3 index,1800,3,175
Govindpuri,2 index,1035,2,41
Guramb,3 index,1520,2,75
Gurha,2 index,1360,2,95
Hadipur Gaori,4 index,6000,5,400
Haripur,2 index,1117,2,56
Harisinghpur,4 index,1200,4,120
Hasanpur Kalan,2 index,1330,2,92.5
Hastinapur (NP),3 index,1937,3,160
Hastinapur Kaurwan,2 index,1128,2,65.49
Hastinapur Pandwan,2 index,1053,2,45
Hatoopura,2 index,1198,2,77
Hazratpur,2 index,1152,2,56
Himaupur,6 index,1200,6,125
Ibrahimpur,2 index,1625,2,75
Ikwara,3 index,1397,3,105
Issapur,3 index,1523,3,170
Jafarpur Nagla,2 index,883,2,45
Jai,1 index,700,1,38
Jaisinghpur,2 index,1170,2,62.5
Jalalpur Jora,3 index,1200,2,42
Jalalpur Maqbulpur,3 index,2400,3,170
Jalalpur Raunakali,2 index,1480,2,65
Jamalpur Khadar,3 index,1897,3,120
Jamalpur-Meghrajpur,2 index,996,2,67
Jandheri,3 index,1875,3,110
Jarauda,3 index,1500,2,98
Jataula,3 index,3095,3,350
Jeetpur,3 index,1390,2,175
Jharaka,3 index,1445 - 1455,3,65.255
Jhijharpur,1 index,697,1,45
Jhunjhunee,1 index,710,1,27
Kabirpur,2 index,910,2,30.5
Kailirampur,3 index,1025,2,48
Kandala,2 index,884 - 1116,2,46.5
Kanker Khera,4 index,1200,4,244
Kareempur,3 index,1453,2,46.48
Kasimpur,4 index,3335,5,300
Katra,2 index,850 - 1093,2,36.435
Kayasth Barha,2 index,1281,2,74
Khaikhera,1 index,565,1,35
Khalidpur,2 index,1024,2,42
Khand Awli,3 index,1620,3,62
Khanpur Banger,2 index,1254,2,40
Khanpur Garhi,3 index,1300,2,75
Khanwala,2 index,1233,2,43
Kharkhali,1 index,1200,1,28
Khata,3 index,1510,2,105
Khatki,2 index,950,2,65
Khejuri Alyarpur,3 index,1945,3,97.42
Kheri Kalan,2 index,1008,2,45
Kheri Khurd,3 index,1265,2,79
Kheri Manihar,3 index,1255,2,77.68
Kherki Jadid,4 index,2689,6,220
Khijarpur,2 index,1200,2,46.17
Khor Ahir,3 index,1403,3,51.63
Khorrai,3 index,1535,3,85
Kiratpur,3 index,1500,3,100
Kishanpur,3 index,1475,2,120
Kishanpur Birana,3 index,1390,2,60.47
Kishorpur,3 index,1278,2,53.76
Kithaur (NP),2 index,1133,2,55
Kithor Rural,5 index,1560,5,145
Kohla,5 index,2900,5,90
Kol,2 index,1170,2,51.99
Kunda,3 index,1200,3,200
Kunehra,3 index,1697,3,94.79
Kuri Kamalpur,3 index,1651,3,97.38
Kutubpur,3 index,1560,3,188
Laliyana,3 index,1192,2,60
Lalpur,2 index,1078,2,65
Lalpur,7 index,800,7,105
Latifpur,2 index,1349,2,78
Lutfullapur Baksar,9 index,2300,8,210
Machhra,3 index,1680,3,120
Mahamudpur Shikhera,3 index,1314,2,63
Mahmudabad,2 index,1060,2,48.7
Mahmudpur Garvi,2 index,820,2,39
Mahmudpur Sherki,4 index,5000,4,400
Makhannagar,3 index,2000,3,85
Makhdumpur,2 index,856,2,40
Mamipur,3 index,1621,4,130
Mandwari,3 index,1200,3,68.4
Manoharpur,3 index,1484,3,52.5
Manpur,4 index,600,5,60
Manpur,4 index,14000,3,800
Matora,1 index,500,1,20
Mavi,1 index,485,1,15
Mawana (NPP),2 index,1050,2,42
Mawana Kalan,3 index,1617,3,66.68
Mawana Khurd,2 index,550,1,16
Meerpur,3 index,1384,3,62.28
Meerpur Sadhunagal,2 index,1408,2,85
Meghrajpur,2 index,1150,2,49
Mewa,3 index,1410,2,75
Mirzapur,4 index,2150,4,100
Mishipur,3 index,2292,4,275
Mohammadpur Kheri,3 index,2006,3,297
Mohammadpur Shakist,3 index,1508,3,70.25
Mor Kalan,2 index,1040,2,50
Morkhurd,2 index,1240,2,60
Mubarikpur,3 index,1535,3,78
Mubarikpur,2 index,1180,2,75
Murad Gaon Urf Kuwan Khera,6 index,2200,6,68
Muradpur Urf Sholda,2 index,1400,2,78
Muzaffarpur Khunti,1 index,500,1,25
Nagla Azdi,4 index,4800,4,525
Nagla Chand,3 index,1984,4,146
Nagla Gusai,4 index,3000,5,250
Nagla Hareroo,3 index,1960,3,160
Nagla Jarif,2 index,1035,2,45
Nagla Salempur,4 index,2150,4,80
Nagla Shahu,3 index,1700,3,115
Nagli Abdulla,4 index,3024,5,248
Nagli Issa,3 index,1586,3,100
Nagli Khadar,3 index,2264,,155
Nagli Kithaur,4 index,2325,4,120
Nagori,2 index,1120,2,55
Nai Putha,3 index,1440 - 1884,,67.98
Naidru,2 index,1128,2,59
Narangpur,6 index,1200,6,250
Nasarpur,2 index,924,2,65
Navipur Amanatnagar,3 index,1600,3,52
Nawal Surajpur,2 index,1006,2,35
Neemka,2 index,1200,2,55
Niloha,2 index,1250,2,62
Nimka Viran,3 index,1200,3,130
Nirawali,2 index,957,2,56
Nityanandpur,2 index,1140,2,41
Paharpur,2 index,1050,2,67
Paharpur Kutub,3 index,1565,3,88.5
Paharpur Ram,2 index,1190,2,57
Pali,3 index,2842,3,162
Palra,3 index,1558.67,2,65
Parichhatgarh,1 index,630,1,39
Parikshitgarh (NP),3 index,1403,2,60.81
Partapur Hansapur,3 index,1542,2,85
Paswara,4 index,2750,4,220
Pathanpur,4 index,3596,5,290
Penai,3 index,1635,2,78
Phalauda (NP),2 index,1239,2,53
Phalawda Rural,2 index,1194,2,47
Phitkari,3 index,1596,3,105
Pilona,2 index,1009,2,38.34
Poothi,3 index,1726,3,81.99
Rachhoti,3 index,1535,3,86
Radhna Inayatpur,3 index,1300,2,58.5
Rafan,4 index,3100,4,465
Rahawati,3 index,1800,3,80
Rahmapur,1 index,665,1,50.75
Rajoopur,9 index,4050,7,1200
Rampur Ghoria,3 index,1500,2,100
Rampur Sadhu Nagli,2 index,925,2,48
Rasulpur Goari,4 index,3356,4,251
Rasulpur Hansapur,2 index,1395,2,63.59
Rasulpur Ikla,3 index,1415,2,55
Rathaura Khurd,3 index,1419,2,59
Rathora Kalan,2 index,1121,2,78
Rehadra,3 index,1082,2,45
Roopra,2 index,1100,2,47
Rustampur Bhikund,3 index,1606,3,89.55
Sadarpur,3 index,1650,3,88
Sadullapur,3 index,4634,4,1015
Sadullapur,2 index,1206,2,75
Saidipur Sadipur Urf Ramnagar,3 index,1495,2,64
Saidipur Seth,8 index,840,7,195
Saifpur Firojpur,2 index,710,2,16
Saifpur Karamchandpur,2 index,1210,2,72
Sakoti,3 index,1523,2,53.4
Salah Rasulpur Panah,2 index,1232,2,45
Salarpur,1 index,680,1,44
Sandhan,3 index,1355,3,83.87
Sanota,3 index,1430,2,51.46
Sarai Khadar,3 index,1275,2,43.85
Sarangpur,2 index,1070,2,56.1
Sathla,3 index,1200,3,85
Seena,4 index,2000,4,120
Shah Kulipur,2 index,1200,2,40
Shahabad Garhi,3 index,1610,3,90
Shahajhapur,2 index,1140,2,43
Shahapur,2 index,1143,2,38.65
Shahapur Khadar,4 index,3467.86,6,249
Shahipur,3 index,1530,2,74.4
Shahpur Sultanpur,2 index,980,2,69
Shahzadpur,3 index,1485,3,65
Shamashpur,3 index,1500,3,130
Shamaspur,2 index,1280,2,75
Sherpur,2 index,1265,2,85
Shikhera,2 index,1132,2,67
Shimla,2 index,1262,2,63
Shirjepur,2 index,940,2,49
Shivpuri,3 index,1515,3,88
Shodatt,3 index,1300,3,150
Sikandarpur,3 index,1840,3,69
Singhpur,2 index,890,2,45
Sona,3 index,1655,3,86.06
Sujatpur,3 index,2060,3,149
Sultanpur Dabal,3 index,1730,3,96
Tajpura,3 index,2195,4,127
Takhawali,3 index,1650,3,125
Tarapur,2 index,1200,2,71
Tarbiyatpur Janubi,2 index,1079,2,32.37
Tarbiyatpur Shumali,2 index,1085,2,36
Tatina,7 index,5000,7,299
Tigri,2 index,1075,2,51.5
Tofapur,2 index,1380,2,80
Veerkhera,3 index,1450,3,65
Akhtyarpur,2 index,1200,2,78
Alamgirpur-Faridpur,3 index,3200,4,350
Andawali,3 index,1639,3,98.32
Aterna,2 index,1200,2,54
Atmadnagar Allipur,3 index,1739,3,116
Aurangnagar Rardhana,4 index,4346,5,500
Badruddinnagar Nanu,2 index,935,2,32.72
Bahadurpur,1 RK,510,1,25.25
Bahrala,6 index,1200,6,180
Baparsa,2 index,1178,2,47
Baparsi,3 index,1375,2,50
Barkali Nekpur,3 index,1065,2,33
Batjeora,3 index,1450,2,50.75
Bhalsauna,2 index,999,2,45
Bhamori,2 index,4400,3,475
Bharota,5 index,1350,4,135
Bhawa-Nagla,2 index,1100,2,40
Bhuni,3 index,1835,2,155
Bihta,4 index,2090,4,95.1
Bubakpur,3 index,1519,3,93
Chandna,3 index,1267,3,56
Charla,2 index,1150,2,72.2
Chhabariya,2 index,1146,2,70
Chhur,8 index,1200,7,235
Chindauritappa Lawar,3 index,1550,3,65
Chirori,2 index,850,1,18.5
Dabathuwa,3 index,2200,3,187
Dabathuwa Garhi,3 index,3329,3,330
Dadri,1 index,785,1,55
Dahar,3 index,2900,4,300
Daulatpur,3 index,1610,3,74
Daurala (NP),2 index,921,2,40
Deoli Khera Urf Jainpur,3 index,850,3,95
Dhanju,5 index,2700,5,158
Dhanwali,3 index,1700,3,110
Dulehra Chauhan,2 index,1020,2,35
Gesupur Baphawat,2 index,1090,2,52
Gotka,4 index,3600,4,300
Harar,2 index,1027,2,44
Ikari,2 index,1185,2,42.1
Jafarnagar-Begamabad,2 index,850,2,25
Jainpur,2 index,1197,2,84
Jalalabad Urf Jalalpur,4 index,3500,3,450
Jalalpur-Akkhepur,2 index,920,2,39.55
Jamalpur Goma,9 index,716Sq. Meter,9,296
Jamalpur Jalalpur,2 index,1105,2,65
Jasar Sultannagar,3 index,1850,3,100
Jasrathpur,3 index,1300,3,64
Jeori,3 index,1595,3,76
Jhitkari,4 index,3073,5,696
Jitpur,2 index,755,2,37.49
Julehra,5 index,4050,5,140
Kaili,3 index,1300,2,69
Kailota,2 index,1215,2,50
Kakkepur,2 index,900,2,46
Kaland,2 index,1145,2,58.4
Kalandi,2 index,1093,2,65
Kamaruddinnagar Madhiyai,3 index,1213,2,41.39
Kanora,3 index,1654,3,100
Kapsarh,2 index,1105,2,52.48
Karnawal (NP),3 index,1611,2,66
Karnawal Rural,2 index,1367,2,62
Khanuda,2 index,1010,2,51
Khawajahanpur-Kushawali,3 index,750,2,75
Khera,3 index,1535,3,95
Kheri Jatran,2 index,620,2,22
Kheri Kalan,2 index,982,2,47.65
Kheri Tappa Lawar,2 index,1700,2,150
Khirwa Jalalpur,2 index,1330,2,71
Khirwa Nauabad,3 index,2500,3,135
Khiwai,3 index,1475,2,58.99
Kulanjan,3 index,1410,3,65
Lawar (NP),1 index,440,1,16.5
Lawar Janaali Rural,3 index,1614,3,95
Lawar Khas Rural,2 index,1363,2,68
Lawri Hiranpur,2 index,650,2,28
Loiya,2 index,1015,2,45
